               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.064463,            0.042338,            0.028774,              0.7679,             0.18975,             0.25606,            0.093182,            0.063273,            0.025357,             0.03021,            0.006436,            0.006436,            0.006436
                  38,            0.065326,            0.040937,            0.028617,             0.52607,             0.26844,             0.22235,             0.10055,               0.062,             0.02638,            0.030328,            0.006337,            0.006337,            0.006337
                  39,            0.062581,            0.039389,             0.02826,             0.78904,             0.18483,             0.22653,            0.096506,            0.060552,            0.026767,             0.03027,            0.006238,            0.006238,            0.006238
                  40,            0.062285,            0.041244,             0.02857,               0.679,             0.25274,             0.25926,             0.11453,              0.0586,            0.025175,            0.029457,            0.006139,            0.006139,            0.006139
                  41,            0.061584,            0.041653,            0.027133,             0.67225,             0.23592,             0.18587,            0.078131,             0.06557,            0.034614,             0.03457,             0.00604,             0.00604,             0.00604
                  42,            0.061298,            0.042415,            0.028401,             0.64839,             0.21768,             0.24616,             0.10984,            0.060797,            0.024892,            0.029972,            0.005941,            0.005941,            0.005941
                  43,            0.062505,            0.039963,            0.027588,             0.80268,               0.223,             0.26605,             0.11227,             0.05861,            0.024766,            0.029642,            0.005842,            0.005842,            0.005842
                  44,            0.061889,            0.041699,            0.027183,             0.94751,               0.142,             0.20975,            0.084575,            0.065747,            0.027735,            0.031205,            0.005743,            0.005743,            0.005743
                  45,            0.060707,            0.039198,            0.026467,              0.6102,             0.21052,             0.21359,             0.09034,            0.059468,            0.028078,            0.028935,            0.005644,            0.005644,            0.005644
                  46,            0.060106,            0.042284,            0.027179,             0.84476,             0.20081,             0.28147,             0.12035,            0.057076,            0.024916,            0.028811,            0.005545,            0.005545,            0.005545
                  47,             0.05946,            0.042906,            0.026184,             0.72313,             0.22475,             0.26681,             0.12982,            0.058444,            0.024346,            0.028386,            0.005446,            0.005446,            0.005446
                  48,            0.060071,            0.039801,             0.02771,               0.662,             0.23268,             0.25759,             0.11574,            0.057094,             0.02515,            0.029466,            0.005347,            0.005347,            0.005347
                  49,            0.059558,            0.040943,             0.02567,             0.62297,             0.23315,             0.24038,             0.10054,             0.06033,            0.024121,            0.029582,            0.005248,            0.005248,            0.005248
                  50,            0.058873,            0.041804,            0.027332,             0.65974,             0.28382,             0.25806,             0.12144,            0.057857,            0.024093,            0.027202,            0.005149,            0.005149,            0.005149
                  51,            0.059908,            0.039197,            0.025869,             0.62722,             0.26661,             0.28959,             0.13342,            0.055139,            0.024284,            0.026985,             0.00505,             0.00505,             0.00505
                  52,            0.058518,            0.040905,            0.025663,             0.70901,             0.25468,             0.29383,             0.13434,            0.056001,            0.025064,            0.027834,            0.004951,            0.004951,            0.004951
                  53,            0.059604,            0.040806,            0.025594,               0.628,             0.20529,              0.2838,             0.12983,            0.055809,            0.024497,            0.028369,            0.004852,            0.004852,            0.004852
                  54,            0.059161,            0.039601,            0.024976,             0.73301,             0.22977,             0.29657,             0.12612,            0.055859,            0.024457,            0.027061,            0.004753,            0.004753,            0.004753
                  55,            0.059032,            0.041031,            0.025865,             0.68282,             0.24451,              0.2739,             0.11943,              0.0567,            0.025753,            0.027525,            0.004654,            0.004654,            0.004654
                  56,            0.059073,             0.04035,            0.024841,             0.66218,             0.28265,             0.29288,             0.13104,            0.055701,            0.023948,            0.026859,            0.004555,            0.004555,            0.004555
                  57,            0.057483,            0.040398,            0.025297,             0.66029,             0.29139,             0.31575,             0.14906,            0.055095,            0.025421,            0.027063,            0.004456,            0.004456,            0.004456
                  58,            0.057678,            0.040096,            0.025528,             0.67523,             0.29211,             0.32606,             0.14192,            0.054736,            0.024529,            0.026482,            0.004357,            0.004357,            0.004357
                  59,            0.057072,              0.0404,            0.024468,             0.65654,             0.28359,             0.29506,             0.13515,            0.055481,            0.024743,            0.027231,            0.004258,            0.004258,            0.004258
                  60,            0.057433,            0.042685,            0.024853,             0.73286,             0.29681,             0.31543,             0.14635,            0.053033,             0.02474,            0.027099,            0.004159,            0.004159,            0.004159
                  61,            0.057421,            0.038861,             0.02697,             0.67203,             0.24496,             0.28464,             0.12855,             0.05643,            0.025847,            0.029128,             0.00406,             0.00406,             0.00406
                  62,              0.0559,            0.040808,            0.024335,             0.69786,             0.25717,             0.29964,             0.13396,             0.05418,            0.023984,            0.025343,            0.003961,            0.003961,            0.003961
                  63,            0.057849,            0.042239,            0.023911,             0.67076,             0.27445,             0.30537,             0.13287,            0.055078,            0.024565,            0.027717,            0.003862,            0.003862,            0.003862
                  64,            0.055948,             0.03956,            0.023075,              0.6277,             0.28001,              0.3043,             0.14479,            0.054535,            0.023626,            0.026317,            0.003763,            0.003763,            0.003763
                  65,            0.056677,            0.039958,            0.024502,             0.66024,             0.33216,             0.34158,             0.14768,            0.053354,            0.023798,            0.025385,            0.003664,            0.003664,            0.003664
                  66,            0.055443,            0.040117,            0.023548,             0.63304,             0.31947,              0.3206,             0.14717,            0.053061,             0.02376,             0.02385,            0.003565,            0.003565,            0.003565
                  67,            0.055978,            0.039887,            0.023628,              0.7627,             0.25267,             0.30501,              0.1381,             0.05723,            0.023034,            0.026112,            0.003466,            0.003466,            0.003466
                  68,              0.0559,            0.039441,            0.023803,             0.70847,             0.28367,             0.33801,             0.15264,            0.054407,            0.023474,            0.027605,            0.003367,            0.003367,            0.003367
                  69,            0.055859,            0.038395,            0.023331,             0.75801,             0.28841,             0.33864,             0.16627,            0.052985,            0.023469,            0.024783,            0.003268,            0.003268,            0.003268
                  70,            0.055562,            0.038425,            0.023409,             0.71079,             0.32611,             0.33465,             0.15251,            0.052584,            0.024545,            0.024249,            0.003169,            0.003169,            0.003169
                  71,            0.055745,             0.03994,            0.022801,             0.62157,              0.3081,             0.30407,             0.14157,             0.05543,            0.024233,            0.028342,             0.00307,             0.00307,             0.00307
                  72,             0.05501,            0.037352,            0.022685,             0.66122,             0.34107,               0.332,             0.15904,            0.054491,            0.023369,            0.026465,            0.002971,            0.002971,            0.002971
                  73,            0.054786,            0.040045,            0.022672,             0.75476,             0.26117,             0.31738,             0.15556,            0.053245,            0.023721,            0.024554,            0.002872,            0.002872,            0.002872
                  74,            0.055373,            0.038471,            0.022913,             0.66437,             0.30611,             0.31375,             0.14811,            0.053749,            0.023289,            0.024751,            0.002773,            0.002773,            0.002773
                  75,            0.055508,            0.039674,            0.022493,             0.73399,             0.30324,             0.32561,             0.16178,            0.051896,            0.023287,            0.025352,            0.002674,            0.002674,            0.002674
                  76,            0.055548,            0.038112,            0.023245,             0.74702,             0.30796,             0.35994,             0.16674,            0.052752,            0.023516,            0.024523,            0.002575,            0.002575,            0.002575
                  77,            0.054939,            0.040338,             0.02151,             0.76242,               0.267,             0.34455,             0.16813,            0.054117,            0.023209,            0.024117,            0.002476,            0.002476,            0.002476
                  78,            0.055225,            0.039208,            0.022617,             0.79607,             0.27381,              0.3583,             0.16813,            0.053309,             0.02396,            0.024761,            0.002377,            0.002377,            0.002377
                  79,            0.054113,            0.036591,            0.021611,             0.73998,             0.26368,             0.30711,             0.13513,            0.055164,              0.0248,            0.026881,            0.002278,            0.002278,            0.002278
                  80,            0.054722,            0.040304,            0.022622,              0.6763,             0.28742,             0.32606,             0.16314,             0.05532,            0.022979,             0.02598,            0.002179,            0.002179,            0.002179
